4K,#genre#
CCTV1综合[1920*1080],http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV1综合[1920*1080],http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://39.135.135.50:80/wh7f454c46tw1825434025_-138335295/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8?icpid=88888888&RTS=1554599597&from=1&hms_devid=701
CCTV1综合[1920*1080],http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=028&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://120.221.44.101:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1综合[1920*1080],http://117.169.72.135:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合[1920*1080],http://111.20.105.60:6060/yinhe/2/ch00000090990000001068?virtualDomain=yinhe.live_hls.zte.com
CCTV1综合[1920*1080],http://39.135.139.196:6610/PLTV/88888888/224/3221225642/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226282/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.224:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB150620200902204912064873
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV1综合[1920*1080],http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226125/2.m3u8
CCTV1综合[1920*1080],http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8
CCTV1综合[1920*1080],http://182.138.51.71/PLTV/88888920/224/3221225792/index.m3u8
CCTV1综合[1920*1080],http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-businessmbble/live/cctv-1/1.m3u8?IASHttpSessionId=OTT582420200913165125002515
CCTV1综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合[1920*1080],http://bjyd1.jilu8.cn/PLTV/88888888/224/3221226154/3.m3u8
CCTV1综合[1920*1080],http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-businessmbble/live/cctv-1/1.m3u8?IASHttpSessionId=OTT586420200925081214005802
CCTV1综合[1920*1080],http://120.221.5.113:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1综合[1920*1080],http://221.179.136.151/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV1综合[1920*1080],http://221.179.136.149/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8
CCTV1综合[1920*1080],http://111.13.42.13/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/1.m3u8
CCTV1综合[1920*1080],http://111.13.42.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226416/1.m3u8
CCTV1综合[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8
CCTV1综合[1920*1080],http://39.134.157.205/PLTV/88888888/224/3221225658/index.m3u8
CCTV1综合[1920*1080],http://111.13.42.42/PLTV/88888888/224/3221226154/1.m3u8
CCTV1综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
